ItemName,InfectionRate,ArmorHp,Weight,Durability,Agility,Endurance,PreventZombie,MainItemNum,ServeItemNum
두건,12,8.1,5.2,7.3,6.1,9.6,4.4,0,0
야구모자,1,1,1,1,1,1,1,0,1
안전모,2,2,2,2,2,2,2,0,2
헬멧,3,3,3,3,3,3,3,0,3
방탄모,4,4,4,4,4,4,4,0,4
슬리퍼,5,5,5,5,5,5,5,0,5
운동화,6,6,6,6,6,6,6,0,6
워커,7,7,7,7,7,7,7,0,7
전투화,8,8,8,8,8,8,8,0,8
작업화,9,9,9,9,9,9,9,0,9
티셔츠,10,10,10,10,10,10,10,0,10
와이셔츠,11,11,11,11,11,11,11,0,11
가죽자켓,12,12,12,12,12,12,12,0,12
패딩,13,13,13,13,13,13,13,0,13
방탄조끼,14,14,14,14,14,14,14,0,14
반바지,15,15,15,15,15,15,15,0,15
얇은 면바지,16,16,16,16,16,16,16,0,16
면바지,17,17,17,17,17,17,17,0,17
청바지,18,18,18,18,18,18,18,0,18
튼튼한 청바지,19,19,19,19,19,19,19,0,19
